1 240 35 0.5 0 1  1 dark intro 16
245 432 75`45`45 1.2 -1 0  2 dark intro 15.8
3333 3561 75`35`35 0.5 0 1  1.5 light sky 16 
4211 4576 75`35`35 0.5 1 1  1 light sky blocking
7558 7674 35 0.45 0 1  0.5 light sky blocking 
7804 8059 35 0.45 1 1  1 above  15.5
8152 8246 35 0.45 1 1  1 above  
61196 61395 35 0.45 0 1  1.5 dark clothes 
61510 61934 35 0.45 0 1  1.5 above  
62066 62201 35 0.45 0 1  1.5 above  
68478 70484 50 0.5 0 1  1 dark edge 
104563 104713 50 0.45 1 1  1 light sky 15.5 
118809 118873 50`25`25 0.5 0 1  1 light sky 15.5
126768 126889 35 0.45 0 1  1 dark blocking only-grain
126889 126983 75`35`35 0.6 2 1  1 lignht sky blocking 15.5
127040 127230 50`30`30 0.55 2 1  1.5 light sky 15.5
128295 128482 50`30`30 0.55 2 1  1.5 above  15.5
134022 134087 40 .6 1 1  0.5 light sky 
145437 145508 75`75`75 .75 3 1  1 dark blocking   145457
162312 163184 35 0.45 0 1  0.5 above  
